GeneID	seqnames	start	end	width	strand	distance	domain	off_rep2	on_rep1	on_rep2	on_avg	M	A
1	chr1	999192	999542	351	*	236831443	0	11.2756134134035	5.76899828122963	12.0054296717578	8.88721397649369	-0.312159157812338	3.4616436339113
2	chr1	1335007	1335144	138	*	236495841	0	72.6650642197117	7.69199770830618	72.8329400086637	40.2624688584849	-0.8361504363465	5.78483345768137
3	chr1	1348583	1348933	351	*	236482052	0	12.5284593482262	2.88449914061482	11.2050676936406	7.04478341712769	-0.74987206513999	3.38298961358809
4	chr1	1410241	1410591	351	*	236420394	0	16.286997152694	20.1914939843037	19.2086874748124	19.7000907295581	0.259949804533421	4.24159028376538
5	chr1	1575106	1575456	351	*	236255529	0	11.2756134134035	5.76899828122963	15.2068775842265	10.4879379327281	-0.0956752582584666	3.56988558368824
6	chr1	1779733	1780083	351	*	236050902	0	13.7813052830488	6.7304979947679	7.20325780305465	6.96687789891128	-0.891687304909444	3.4398581166686
7	chr1	1859304	1859654	351	*	235971331	0	13.7813052830488	25.9604922655333	19.2086874748124	22.5845898701729	0.674070838761618	4.22273718850413
8	chr1	1889921	1890271	351	*	235940714	0	22.5512268268071	7.69199770830618	16.0072395623437	11.8496186353249	-0.874076672225211	4.12069197321367
9	chr1	2414251	2414601	351	*	235416384	0	13.7813052830488	11.5379965624593	8.00361978117184	9.77080817181555	-0.456647169783097	3.65737818423177
10	chr1	3899821	3900171	351	*	233930814	0	15.0341512178714	0.961499713538272	19.2086874748124	10.0850935941753	-0.53252703416296	3.73681256325504
11	chr1	6625075	6625425	351	*	231205560	0	15.0341512178714	6.7304979947679	21.609773409164	14.1701357019659	-0.0799139944141309	3.96311908312945
12	chr1	6701437	6701787	351	*	231129198	0	11.2756134134035	11.5379965624593	15.2068775842265	13.3724370733429	0.22750959630192	3.73147801096843
13	chr1	6784384	6784734	351	*	231046251	0	7.51707560893569	20.1914939843037	14.4065156061093	17.2990047952065	1.10333512637468	3.64202572031522
14	chr1	6846364	6846714	351	*	230984271	0	6.26422967411308	6.7304979947679	9.6043437374062	8.16742086608705	0.335706090300878	3.02866286238083
15	chr1	8816897	8817247	351	*	229013738	0	12.5284593482262	5.76899828122963	9.6043437374062	7.68667100931792	-0.639122246851775	3.4383645227322
16	chr1	8938632	8938982	351	*	228892003	0	18.7926890223392	15.3839954166124	23.2104973653983	19.2972463910053	0.0363163893204694	4.32505391889374
17	chr1	10032868	10033218	351	*	227797767	0	8.76992154375831	19.2299942707654	10.4047057155234	14.8173499931444	0.695089031889363	3.63589149278673
18	chr1	11550669	11551019	351	*	226279966	0	55.1252211321951	7.69199770830618	47.2213567089138	27.45667720861	-0.979882011047771	5.32063631341669
19	chr1	11635828	11636178	351	*	226194807	0	11.2756134134035	0.961499713538272	17.607963518578	9.28473161605816	-0.255290971246057	3.49007772719444
20	chr1	12370146	12370496	351	*	225460489	0	16.286997152694	18.2684945572272	16.0072395623437	17.1378670597854	0.0693175240955313	4.14627414354643
21	chr1	12370617	12370967	351	*	225460018	0	16.286997152694	21.152993697842	16.0072395623437	18.5801166300928	0.17970207185203	4.20146641742468
22	chr1	12381200	12381550	351	*	225449435	0	15.0341512178714	20.1914939843037	32.0144791246873	26.1029865544955	0.757303849523282	4.38172800509816
23	chr1	12618492	12618842	351	*	225212143	0	15.0341512178714	10.576496848921	17.607963518578	14.0922301837495	-0.0873419763174708	3.95940509217778
24	chr1	13585733	13586083	351	*	224244902	0	25.0569186964523	23.0759931249185	25.6115832997499	24.3437882123342	-0.0400343066983586	4.68357743280506
25	chr1	14491603	14491953	351	*	223339032	0	12.5284593482262	15.3839954166124	16.0072395623437	15.695617489478	0.3034719013716	3.90966159684389
26	chr1	15834413	15834763	351	*	221996222	0	15.0341512178714	16.3454951301506	14.4065156061093	15.37600536813	0.0304354949469632	4.01829382781
27	chr1	16367264	16367614	351	*	221463371	0	27.5626105660975	13.4609959895358	24.0108593435155	18.7359276665257	-0.533303511677691	4.56940418391426
28	chr1	16613628	16613978	351	*	221217007	0	21.2983808919845	27.8834916926099	25.6115832997499	26.7475374961799	0.315420784244345	4.63657744541037
29	chr1	17470043	17470393	351	*	220360592	0	25.0569186964523	31.729490546763	31.2141171465702	31.4718038466666	0.317521038979416	4.86235510564395
30	chr1	18417408	18417758	351	*	219413227	0	50.1138373929046	50.9594848175284	46.4209947307967	48.6902397741625	-0.0407514028899278	5.65526629978526
31	chr1	21024765	21025115	351	*	216805870	0	7.51707560893569	10.576496848921	11.2050676936406	10.8907822712808	0.481413568046847	3.3310649411513
32	chr1	21027831	21028181	351	*	216802804	0	18.7926890223392	13.4609959895358	23.2104973653983	18.3357466774671	-0.0336971521207028	4.29004714817316
33	chr1	21066204	21066554	351	*	216764431	0	28.8154565009202	21.152993697842	10.4047057155234	15.7788497066827	-0.829416612311971	4.48328021459532
34	chr1	22474336	22474686	351	*	215356299	0	17.5398430875166	1.92299942707654	21.609773409164	11.7663864181203	-0.538278812083911	3.94341772257047
35	chr1	22611488	22611838	351	*	215219147	0	12.5284593482262	1.92299942707654	13.6061536279921	7.76457652753433	-0.626241259267418	3.44480501652438
36	chr1	23358680	23359030	351	*	214471955	0	13.7813052830488	4.80749856769136	9.6043437374062	7.20592115254878	-0.84903647711239	3.46118353056713
37	chr1	23370860	23371210	351	*	214459775	0	28.8154565009202	16.3454951301506	32.8148411028045	24.5801681164776	-0.22103468001767	4.78747118074247
38	chr1	23377441	23377791	351	*	214453194	0	17.5398430875166	21.152993697842	19.2086874748124	20.1808405863272	0.192130811774284	4.30862253449957
39	chr1	23559492	23559842	351	*	214271143	0	17.5398430875166	18.2684945572272	19.2086874748124	18.7385910160198	0.0903899770039125	4.25775211711438
40	chr1	23979991	23980341	351	*	213850644	0	26.3097646312749	12.4994962759975	25.6115832997499	19.0555397878737	-0.445416084005084	4.54863693319982
41	chr1	24541253	24541603	351	*	213289382	0	12.5284593482262	9.61499713538272	13.6061536279921	11.6105753816874	-0.101363448374671	3.70724392197075
42	chr1	25820151	25820501	351	*	212010484	0	6.26422967411308	5.76899828122963	16.0072395623437	10.8881189217867	0.710638730595458	3.21612918252812
43	chr1	26110801	26111151	351	*	211719834	0	12.5284593482262	7.69199770830618	13.6061536279921	10.6490756681492	-0.215782066939019	3.65003461268858
44	chr1	26111780	26112130	351	*	211718855	0	7.51707560893569	5.76899828122963	10.4047057155234	8.08685199837651	0.093422424098403	3.13706936917708
45	chr1	26408603	26408830	228	*	211422155	0	152.847204048359	30.7679908332247	130.459002433101	80.6134966331628	-0.914618565786028	6.8080451318842
46	chr1	26500529	26500879	351	*	211330106	0	11.2756134134035	10.576496848921	9.6043437374062	10.0904202931636	-0.146481077644804	3.54448267399507
47	chr1	26620557	26620907	351	*	211210078	0	30.0683024357428	23.0759931249185	30.413755168453	26.7448741466858	-0.163222156312066	4.87576043184919
48	chr1	26621019	26621369	351	*	211209616	0	23.8040727616297	24.9989925519951	20.8094114310468	22.9042019915209	-0.0533127825586579	4.60584873029229
49	chr1	26695877	26696227	351	*	211134758	0	8.76992154375831	11.5379965624593	20.0090494529296	15.7735230076944	0.779766853574331	3.67823040362921
50	chr1	27489708	27490058	351	*	210340927	0	15.0341512178714	3.84599885415309	14.4065156061093	9.1262572301312	-0.663046947864304	3.67155260640436
51	chr1	28329045	28329395	351	*	209501590	0	8.76992154375831	7.69199770830618	12.8057916498749	10.2488946790906	0.203364366657665	3.39002916017088
52	chr1	28581512	28581862	351	*	209249123	0	18.7926890223392	12.4994962759975	20.8094114310468	16.6544538535222	-0.16493543781546	4.22442800532578
53	chr1	28736519	28736869	351	*	209094116	0	17.5398430875166	24.9989925519951	18.4083254966952	21.7036590243451	0.292295793785499	4.35870502550517
54	chr1	28737232	28737582	351	*	209093403	0	18.7926890223392	12.4994962759975	21.609773409164	17.0546348425807	-0.132598387465864	4.24059653050057
55	chr1	29181403	29181753	351	*	208649232	0	20.0455349571618	11.5379965624593	20.8094114310468	16.173703996753	-0.293312951021624	4.24878580143544
56	chr1	30136692	30137042	351	*	207693943	0	16.286997152694	2.88449914061482	12.0054296717578	7.44496440618629	-1.03352403912645	3.59485336193544
57	chr1	30209251	30209601	351	*	207621384	0	28.8154565009202	39.4214882550692	32.8148411028045	36.1181646789368	0.316064951787535	5.05602099664507
58	chr1	30214986	30215336	351	*	207615649	0	16.286997152694	17.3069948436889	17.607963518578	17.4574791811335	0.0945182446382855	4.15887450381781
59	chr1	30218023	30218373	351	*	207612612	0	31.3211483705654	17.3069948436889	25.6115832997499	21.4592890717194	-0.525166196694903	4.75182345450237
60	chr1	30708058	30708408	351	*	207122577	0	20.0455349571618	16.3454951301506	14.4065156061093	15.37600536813	-0.361930701662774	4.21447692611487
61	chr1	30984980	30985330	351	*	206845655	0	20.0455349571618	21.152993697842	28.0126692341014	24.5828314659717	0.281661766126654	4.53627316000958
62	chr1	31111297	31111647	351	*	206719338	0	17.5398430875166	7.69199770830618	15.2068775842265	11.4494376462663	-0.574548457959115	3.92528289963287
63	chr1	31880989	31881339	351	*	205949646	0	11.2756134134035	9.61499713538272	12.0054296717578	10.8102134035702	-0.0557600843135049	3.58984317066072
64	chr1	31944310	31944660	351	*	205886325	0	20.0455349571618	17.3069948436889	12.8057916498749	15.0563932467819	-0.390366325901266	4.20025911399562
65	chr1	32108298	32108648	351	*	205722337	0	25.0569186964523	6.7304979947679	12.8057916498749	9.76814482232142	-1.27489677306337	4.06614619962255
